Cal_kcal,Protein_g,Fat_g,SF_g,TF_g,Cho_g,Sugar_g,Na_g,Name,Brand,Resource,UpdateTime,Portions,BraName
140.0,5.3,5.3,3.1,0.0,17.0,15.0,0.073,榛果巧克力風味瑪奇朵(熱),Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_榛果巧克力風味瑪奇朵(熱)
192.0,6.8,6.8,4.0,0.0,25.0,23.0,0.098,榛果巧克力風味瑪奇朵(冰),Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_榛果巧克力風味瑪奇朵(冰)
498.0,5.5,13.7,7.1,0.0,89.0,74.0,0.266,仲夏野莓奶酪星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_仲夏野莓奶酪星冰樂
361.0,4.3,16.0,8.4,0.0,51.0,43.0,0.211,青檸派星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_青檸派星冰樂
292.0,3.7,11.2,6.8,0.0,45.0,44.0,0.156,草莓奶霜星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_草莓奶霜星冰樂
355.0,5.7,14.4,9.3,0.0,50.0,44.0,0.204,義式濃縮奶霜脆餅星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_義式濃縮奶霜脆餅星冰樂
100.0,0.0,0.0,0.0,0.0,25.0,24.0,0.01,洛神花開香檸汽滋樂™,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_洛神花開香檸汽滋樂™
275.0,7.4,14.3,8.6,0.4,30.0,25.3,0.073,冰摩卡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰摩卡
117.0,0.2,0.0,0.0,0.0,29.0,23.0,0.012,蔓越莓葡萄柚汽滋樂™,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_蔓越莓葡萄柚汽滋樂™
101.0,0.0,0.0,0.0,0.0,25.0,23.0,0.018,西瓜椰汁汽滋樂™,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_西瓜椰汁汽滋樂™
