Intake_g,Cal_kcal,Protein_g,Fat_g,SF_g,TF_g,Cho_g,Sugar_g,Na_g,Name,Brand,Resource,UpdateTime,Portions,BraName
100.0,516.0,6.6,27.6,16.5,0.0,61.1,0.0,0.1151,金幣巧克力(單片),Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_金幣巧克力(單片)
100.0,450.0,8.6,16.3,2.2,0.0,67.2,0.0,0.114,咖啡牛軋糖,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_咖啡牛軋糖
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,茶食饗宴禮盒,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_茶食饗宴禮盒
100.0,423.0,5.2,10.4,3.0,0.0,77.1,0.0,0.102,蔓越莓核果牛軋糖,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_蔓越莓核果牛軋糖
830.0,3024.0,43.8,190.0,12.1,0.0,282.9,0.0,0.5304,9吋草莓巧克力戚風蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_9吋草莓巧克力戚風蛋糕
335.0,1548.0,23.7,96.1,41.8,0.0,147.1,0.0,0.258,星巴克經典咖啡捲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_星巴克經典咖啡捲
500.0,1830.0,26.5,84.5,75.5,0.0,241.0,0.0,0.645,6吋檸檬蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_6吋檸檬蛋糕
360.0,1148.0,23.0,60.1,26.6,0.0,128.9,95.8,0.281,長條黑森林蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_長條黑森林蛋糕
450.0,1616.0,29.2,99.9,46.4,0.4,149.4,96.8,0.22,長條咖啡巧克力松露蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_長條咖啡巧克力松露蛋糕
45.0,179.0,0.1,0.0,0.0,0.0,44.4,0.0,0.0,星巴克糖果禮,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_星巴克糖果禮
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,星冰樂咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_星冰樂咖啡
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,星冰樂摩卡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_星冰樂摩卡
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,波多氣泡礦泉水,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_波多氣泡礦泉水
138.0,413.0,13.7,24.3,9.5,0.0,34.9,4.6,0.709,法式烤火腿三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_法式烤火腿三明治
580.0,1745.0,21.6,119.4,75.6,0.0,145.8,0.0,0.462,6吋輕優格百香果慕斯蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_6吋輕優格百香果慕斯蛋糕
600.0,2250.0,27.6,148.2,111.6,0.0,201.0,0.0,0.5922000000000001,6吋焦糖瑪奇朵蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_6吋焦糖瑪奇朵蛋糕
90.0,234.0,8.9,0.0,0.0,0.0,49.7,4.3,0.279,原味貝果,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_原味貝果
230.0,674.0,10.4,38.4,22.1,0.0,72.0,0.0,0.131,黑糖栗子蒙布朗蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_黑糖栗子蒙布朗蛋糕
80.0,326.0,6.6,15.4,10.7,0.6,40.6,10.5,0.337,比利時巧克力司康,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_比利時巧克力司康
100.0,285.0,6.0,17.4,12.2,0.5,26.2,7.6,0.085,提拉米蘇千層薄餅;;中杯那堤 Caffe Latte  ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_提拉米蘇千層薄餅;;中杯那堤 Caffe Latte  
240.0,780.0,15.6,16.8,9.6,0.0,141.6,84.6,0.102,6入可麗露,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_6入可麗露
450.0,1161.0,19.8,65.3,34.7,0.0,122.9,0.0,0.266,長條莓果優格慕斯蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_長條莓果優格慕斯蛋糕
145.0,371.0,11.7,12.6,7.5,0.0,52.6,14.6,0.325,焦糖布丁麵包,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_焦糖布丁麵包
120.0,383.0,7.7,20.0,8.9,0.0,43.0,32.0,0.094,黑森林蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_黑森林蛋糕
90.0,364.0,4.7,20.3,3.9,0.0,40.4,17.1,0.339,藍莓麥芬,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_藍莓麥芬
129.0,131.0,3.7,11.0,1.6,0.0,4.4,0.0,0.3078,有機黑鑽葡萄乾,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_有機黑鑽葡萄乾
620.0,1420.0,34.7,75.0,42.8,0.0,150.7,117.8,0.341,六吋柚香慕斯蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_六吋柚香慕斯蛋糕
450.0,1427.0,21.6,88.7,56.3,0.0,136.0,77.9,0.333,六吋卡布奇諾蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_六吋卡布奇諾蛋糕
