Brand,Name,Portions,Cal_kcal,Protein_g,Fat_g,SF_g,TF_g,Na_g,Cho_g,Resource,UpdateTime,BraName
MOS BURGER,摩斯蘋果汁,一份,102  ,0.6  ,0.4  ,0  ,0  ,0.006,24  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯蘋果汁
MOS BURGER,熱抹茶拿鐵咖啡(M),一份,207.6  ,8.9  ,7.8  ,4.9  ,0  ,0.122,25.4  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_熱抹茶拿鐵咖啡(M)
MOS BURGER,雞腿塊薯條組,一份,362.9  ,9  ,22.5  ,6.6  ,0.1  ,0.2496,31.1  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_雞腿塊薯條組
MOS BURGER,100%新鮮橘子汁,一份,169.6  ,2.2  ,0.6  ,0  ,0  ,0.01,39  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_100%新鮮橘子汁
MOS BURGER,藜麥地瓜烤雞沙拉,一份,200.4  ,12.3  ,2.1  ,1.0  ,0.0  ,0.5023,33.5  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_藜麥地瓜烤雞沙拉
MOS BURGER,鹿兒島焙茶,一份,0  ,0  ,0  ,0  ,0  ,0.0,0  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_鹿兒島焙茶
MOS BURGER,熱拿鐵咖啡(L),一份,158.9  ,8.5  ,8.2  ,5  ,0  ,0.155,12.9  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_熱拿鐵咖啡(L)
MOS BURGER,冰抹茶拿鐵咖啡(L),一份,283.9  ,11.9  ,10.2  ,6.4  ,0  ,0.155,36.1  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_冰抹茶拿鐵咖啡(L)
MOS BURGER,冰拿鐵咖啡(L),一份,133.4  ,7.1  ,6.8  ,4.2  ,0  ,0.13,10.9  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_冰拿鐵咖啡(L)
MOS BURGER,熱摩斯咖啡,一份,5.8  ,0.32  ,0  ,0  ,0  ,0.002,1.12  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_熱摩斯咖啡
MOS BURGER,冰摩斯咖啡,一份,5.8  ,0.32  ,0  ,0  ,0  ,0.002,1.12  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_冰摩斯咖啡
MOS BURGER,熱抹茶拿鐵咖啡(L),一份,250.6  ,11  ,9  ,6  ,0  ,0.155,29.9  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_熱抹茶拿鐵咖啡(L)
MOS BURGER,摩斯柑橘綜合果汁,一份,46.9  ,0.5  ,0.1  ,0  ,0  ,0.003,11  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯柑橘綜合果汁
MOS BURGER,咖哩洋蔥圈,一份,324.8  ,2.9  ,21.2  ,6.0  ,0.2  ,0.698,30.5  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_咖哩洋蔥圈
MOS BURGER,100%台灣冰綠茶(無糖),一份,0  ,0  ,0  ,0  ,0  ,0.0,0  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_100%台灣冰綠茶(無糖)
MOS BURGER,摩斯熱紅茶,一份,1.6  ,0.00  ,0.00  ,0.00  ,0.00  ,0.0,0.40  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯熱紅茶
MOS BURGER,摩斯熱可可,一份,233.0  ,1.8  ,1.0  ,0.6  ,0.0  ,0.143,54.3  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯熱可可
MOS BURGER,摩斯玄米煎茶,一份,0  ,0.14  ,0.00  ,0.00  ,0.00  ,0.0,0.75  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯玄米煎茶
MOS BURGER,摩斯特調紅茶歐蕾,一份,128  ,6.9  ,6.8  ,4.2  ,0.0  ,0.128,9.8  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯特調紅茶歐蕾
MOS BURGER,雞塊薯條點心組,一份,593  ,12.7  ,38.2  ,13.2  ,0  ,0.397,49.2  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_雞塊薯條點心組
MOS BURGER,北海道栗南瓜可樂餅,一份,211.6  ,3.5  ,10  ,4.5  ,0  ,0.184,27  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_北海道栗南瓜可樂餅
MOS BURGER,雞肉地瓜總匯沙拉,一份,166.5  ,10.4  ,8.7  ,2.2  ,0  ,0.366,12  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_雞肉地瓜總匯沙拉
MOS BURGER,紫薯甜芋米派,一份,186.9  ,1.9  ,9.4  ,4.8  ,0  ,0.11,23.7  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_紫薯甜芋米派
MOS BURGER,新夏威夷鮮蔬沙拉,一份,97  ,2.8  ,4.6  ,0  ,0  ,0.2778,11.2  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_新夏威夷鮮蔬沙拉
MOS BURGER,和風炸雞,一份,472  ,19.5  ,36  ,3.2  ,0  ,0.1688,15  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_和風炸雞
MOS BURGER,MOS乳酪條(原味/抹茶),一份,230  ,4.1  ,15.1  ,8.3  ,0.3  ,0.087,19.5  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_MOS乳酪條(原味/抹茶)
MOS BURGER,摩斯雞塊,一份,431  ,19.2  ,34.8  ,5.2  ,0  ,0.4998,10.0  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯雞塊
MOS BURGER,金磚蝦餅,一份,262.1  ,3.8  ,19.4  ,4.5  ,0  ,0.386,18.1  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_金磚蝦餅
MOS BURGER,野莓果粒蒟蒻冰茶,一份,225.8  ,1.1  ,0.1  ,0  ,0  ,0.007,55.4  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_野莓果粒蒟蒻冰茶
MOS BURGER,法蘭克熱狗,一份,158  ,9.5  ,10.4  ,0.6  ,0  ,0.5317000000000001,6.5  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_法蘭克熱狗
MOS BURGER,野莓果粒蒟蒻舒打,一份,277.6  ,1.1  ,0.1  ,0.0  ,0.0  ,0.0611,68.4  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_野莓果粒蒟蒻舒打
MOS BURGER,冰檸摩斯咖啡,一份,160.6  ,0.9  ,0.2  ,0  ,0  ,0.002,38.8  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_冰檸摩斯咖啡
MOS BURGER,北海道可樂餅,一份,176  ,2.4  ,9.5  ,0  ,0  ,0.2359,18.0  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_北海道可樂餅
MOS BURGER,鳳梨奇異果蒟蒻冰茶,一份,237.9  ,0.5  ,0.2  ,0.1  ,0  ,0.007,58.8  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_鳳梨奇異果蒟蒻冰茶
MOS BURGER,鳳梨奇異果蒟蒻舒打,一份,291.6  ,0.5  ,0.2  ,0.1  ,0  ,0.035,72.3  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_鳳梨奇異果蒟蒻舒打
MOS BURGER,稻香戚風米慕斯,一份,220.9  ,7.4  ,10.1  ,5  ,0  ,0.1507,25.1  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_稻香戚風米慕斯
MOS BURGER,花心雞球薯餅組,一份,334  ,12.1  ,23.6  ,7.4  ,0.1  ,0.773,18.2  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_花心雞球薯餅組
MOS BURGER,芒果蒟蒻,一份,118.9  ,0  ,0.4  ,0  ,0  ,0.061,28.9  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_芒果蒟蒻
MOS BURGER,冰萃檸檬綠茶,一份,153.6  ,0.2  ,0.2  ,0  ,0  ,0.002,37.8  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_冰萃檸檬綠茶
MOS BURGER,薯條(L),一份,446  ,4  ,21.4  ,5  ,0  ,0.069,44.0  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_薯條(L)
MOS BURGER,和風雞腿塊,一份,275.8  ,18  ,17.3  ,6.3  ,0  ,0.6407999999999999,12  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_和風雞腿塊
MOS BURGER,柚子冰茶,一份,261.4  ,0.6  ,0  ,0  ,0  ,0.012,64.8  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_柚子冰茶
