品牌,食物名,食用量,重量,熱量,蛋白質,脂肪,碳水化合物,資料來源,更新時間
Subway,鮮嫩雞柳,一份,233,310,25,5.0,44,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,火腿,一份,216,290,18,4.5,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,香烤雞肉,一份,230,320,23,5.0,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,燒烤牛肉,一份,230,320,25,5.0,45,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,百味俱樂部,一份,237,310,23,4.5,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,照燒雞肉,一份,266,370,25,4.0,58,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,嫩切雞肉,一份,216,280,18,3.5,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,火雞胸肉,一份,216,280,18,3.5,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,火雞火腿,一份,216,340,17,3.5,43,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,素食蔬菜,一份,160,230,8,2.5,44,http://www.twsubway.com.tw/GoWeb2/include/,20190101
