品牌,食物名,食用量,重量,熱量,蛋白質,脂肪,碳水化合物,資料來源,更新時間
Subway,鮮嫩雞柳,一份,233,310,25,5,44,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,火腿,一份,216,290,18,4.5,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,香烤雞肉,一份,230,320,23,5,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,燒烤牛肉,一份,230,320,25,5,45,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,百味俱樂部,一份,237,310,23,4.5,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,照燒雞肉,一份,266,370,25,4,58,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,嫩切雞肉,一份,216,280,18,3.5,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,火雞胸肉,一份,216,280,18,3.5,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,火雞火腿,一份,216,340,17,3.5,43,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,素食蔬菜,一份,160,230,8,2.5,44,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,水牛城辣雞,一份,268,420,25,16,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,厚切嫩牛,一份,167,360,24,4,43,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,鄉村培根雞肉,一份,277,570,37,30,44,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,義大利經典,一份,223,410,20,16,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,義大利牛肉丸,一份,299,480,21,18,59,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,鮪魚,一份,234,480,20,25,44,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,哈燒起司總匯,一份,241,380,26,10,48,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,火腿,一份,340,126,12,2.8,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,香烤雞肉,一份,354,133,19,3.3,10,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,燒烤牛肉,一份,354,139,19,2.2,11,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,百味俱樂部,一份,361,131,18,2.5,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,照燒雞肉,一份,411,167,20,2.7,32,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,嫩切雞肉,一份,340,104,12,1.4,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,火雞胸肉,一份,340,100,12,1.9,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,火雞火腿,一份,340,121,12,2.5,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,素食蔬菜,一份,284,52,3,0.9,10,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,火雞火腿,一份,349,180,12,11,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,義大利經典,一份,349,230,14,15,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,義大利義大利牛肉丸,一份,424,310,16,17,25,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,起司牛排,一份,368,210,20,8,14,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,鮪魚,一份,360,310,15,24,10,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,西南鄉村醬,一份,43,190,1,20,2,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,蜂蜜芥末醬,一份,43,60,0,1,13,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,凱薩醬,一份,43,220,0,23,2,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,甜蔥醬油,一份,43,80,0,0,18,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,紅酒醋醬,一份,43,120,0,9.5,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,橄欖油(1 tsp.),一份,5,45,0,5,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,義式白麵包,一份,71,200,7,2,38,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,全麥麵包,一份,78,210,8,2,40,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,巴馬乾酪麵包,一份,75,220,8,2.5,40,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,蜂蜜燕麥麵包,一份,82,230,8,3,40,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,家鄉麵包,一份,75,210,7,2.5,41,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,火焰烤餅,一份,81,220,7,4.5,38,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,培根,一份,15,80,6,5,1,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,西南鄉村醬,一份,21,100,0,10,1,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,蜂蜜芥末醬,一份,21,30,0,0,7,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,美乃滋(1T),一份,15,110,0,12,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,黃芥末醬(2 tsp.),一份,10,5,0,0,1,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,橄欖油(1 tsp.),一份,7,45,0,5,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,凱薩醬,一份,21,110,0,11,1,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,甜蔥醬,一份,21,40,0,0,9,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,紅酒醋,一份,14,39,0,3.1,1,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,大黃瓜(3片),一份,17,5,0,0,1,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,青椒(3條),一份,7,0,0,0,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,墨西哥辣椒(3片),一份,4,5,0,0,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,生菜,一份,21,5,0,0,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,洋蔥,一份,7,5,0,0,1,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,酸黃瓜,一份,9,0,0,0,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,黑橄欖(3片),一份,3,5,0,0,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,番茄(3片),一份,34,5,0,0,2,http://www.twsubway.com.tw/GoWeb2/include/,20190101
