沙拉,Salad,重量 Serving Size(g),Cal_kcal,Fat_g,SF_g,TF_g,Cho_g,Sugar_g,Protein_g,Brand,Resource,UpdateTime,Portions
素食蔬菜,Veggie DelightTM,273,52,0.9,0.2,0.0,10,6,2,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
火腿,Ham,329,119,2.6,0.7,0.0,15,7,11,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
嫩切雞肉,Sliced Chicken,315,103,1.1,0.2,0.0,22,7,7,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
義大利牛肉丸,Italian Meatballs,393,204,7.5,3.1,0.0,22,12,13,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
火雞火腿,Turkey Breast & Ham,329,112,2.3,0.6,0.0,14,7,11,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
鮮嫩雞柳,Chicken Strips,337,126,2.3,0.2,0.0,10,6,18,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
鮪魚,Tuna,347,300,23.1,3.4,0.7,10,6,14,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
火雞胸肉,Turkey Breast,315,92,1.8,0.4,0.1,12,6,9,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
香烤雞肉,Roasted Chicken Breast,340,133,3.3,0.8,0.0,13,8,15,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
照燒雞肉,Chicken Teriyaki,365,164,2.5,0.2,0.0,18,12,19,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
百味俱樂部,SUBWAY ClubTM,334,126,2.4,0.6,0.0,13,7,13,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
哈燒起司總匯,SUBWAY MeltTM,336,187,9.0,4.3,0.2,14,7,14,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
燒烤牛肉,Roast Beef,332,148,2.3,0.7,0.0,11,7,14,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
水牛城辣雞,Buffalo Chicken,365,158,2.6,0.2,0.3,16,11,19,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
義大利經典,Italian B.M.TTM,337,227,13.5,5.1,0.0,14,7,15,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
厚切嫩牛,Diced Beef,356,207,9.3,4.6,0.2,12,7,20,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
鄉村培根雞肉,Chicken Bacon Ranch,379,306,18.2,5.4,0.2,14,9,24,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
