一份肉,"Individual Meats (amount on 6"" sub or salad)meat",重量 Serving Size(g),Cal_kcal,Fat_g,SF_g,TF_g,Cho_g,Sugar_g,Protein_g,Brand,Resource,UpdateTime,Portions
特選火腿,Ham,56,67,1.7,0.6,0.0,4,1,8,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
嫩切雞肉,Sliced Chicken,42,51,0.2,0.0,0.0,11,1,4,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
義大利牛肉丸,Italian Meatballs,120,152,6.6,2.9,0.0,12,6,10,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
鮮嫩雞柳,Chicken Strips,64,74,1.4,0.0,0.0,0,0,15,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
鮪魚,Tuna,74,248,22.2,3.2,0.7,0,0,12,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
火雞胸肉,Turkey Breast,42,40,0.9,0.3,0.1,1,0,7,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
香烤雞肉,Roasted Chicken Breast,67,81,2.3,0.7,0.0,2,2,13,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
百味俱樂部,SUBWAY ClubTM,61,74,1.5,0.5,0.0,2,1,10,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
燒烤牛肉,Roast Beef,59,96,1.4,0.5,0.0,1,1,11,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
義大利經典,Italian B.M.TTM,64,175,12.6,5.0,0.0,3,1,12,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
厚切嫩牛,Diced Beef,71,115,5.0,2.3,0.1,1,1,16,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
